#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
OK426,20240322120000:  206    ,     ----,  980----,  436----,  960----,     ----,     ----,     ----, 2560----, 1446    , 1506----,     ----, 1484X   , 3131----,  426----,  496----,     ----,  120----, 4205----,-----    ,-----    ,     ----,-----    
OK426,20240322121500:  214    ,     ----,  980----,  568----,  920----,  524----,     ----,     ----, 2880----, 1486    , 1538----,     ----, 1496X   , 3426----,  738----,  628----,     ----,  120----, 4127----,-----    ,-----    ,     ----,-----    
OK426,20240322123000:  202    ,     ----,  930----,  408----,  960----,     ----,     ----,     ----, 2980----, 1546    , 1518----,     ----, 1520X   , 3305----,  438----,  468----,     ----,   72----, 4263----,-----    ,-----    ,     ----,-----    
OK426,20240322124500:  210    ,     ----,  930----,  440----,  800----,     ----,     ----,     ----, 2940----, 1562    , 1574----,     ----, 1520X   , 3283----,  394----,  500----,     ----,   96----, 4285----,-----    ,-----    ,     ----,-----    
OK426,20240322130000:  218    ,     ----,  980----,  440----,  960----,  498----,     ----,     ----, 2920----, 1562    , 1550----,     ----, 1520X   , 3451----,  470----,  500----,     ----,   84----, 4308----,-----    ,-----    ,     ----,-----    
OK426,20240322131500:  206    ,     ----,  930----,  440----,  960----,     ----,     ----,     ----, 2960----, 1614    , 1570----,     ----, 1498X   , 3522----,  430----,  500----,     ----,     ----, 4345----,-----    ,-----    ,     ----,-----    
OK426,20240322133000:  206    ,     ----,  930----,  428----,  960----,     ----,  480----,     ----, 2960----, 1618    , 1594----,     ----, 1580X   , 3323----,  438----,  488----,     ----,   84----, 4429----,-----    ,-----    ,     ----,-----    
OK426,20240322134500:  202    ,     ----,  920----,  432----,  980----,     ----,     ----,     ----, 3040----, 1586    , 1598----,     ----, 1582X   , 3242----,  406----,  492----,     ----,     ----, 4482----,-----    ,-----    ,     ----,-----    
OK426,20240322140000:  190    ,     ----,  870----,  372----,  980----,     ----,     ----,     ----, 3060----, 1638    , 1650----,     ----, 1644X   , 3327----,  406----,  432----,     ----,  144----, 4534----,-----    ,-----    ,     ----,-----    
OK426,20240322141500:  416    ,     ----, 1240----,  372----, 1070----,     ----,     ----,     ----, 3060----, 1638    , 1706----,     ----, 1620X   , 3375----,  432----,  432----,     ----,     ----, 4553----,-----    ,-----    ,     ----,-----    
OK426,20240322143000:  190    ,     ----, 1100----,  440----,  960----,     ----,     ----,     ----, 3160----, 1626    , 1678----,     ----, 1668X   ,     ----,  442----,  500----,     ----,   84----,     ----,-----    ,-----    ,     ----,-----    
OK426,20240322144500:  178    ,     ----,  920----,  432----,  980----,     ----,     ----,     ----, 3040----, 1694    , 1438----,     ----, 1652X   , 3328----,  410----,  492----,     ----,     ----, 4607----,-----    ,-----    ,     ----,-----    
OK426,20240322150000:  214    ,     ----,  930----,  440----,  980----,  528----,     ----,     ----, 2900----, 1682    , 1690----,     ----, 1692X   , 3279----,  438----,  500----,     ----,   96----, 4672----,-----    ,-----    ,     ----,-----    
OK426,20240322151500:  226    ,     ----,  930----,  424----,  980----,     ----,     ----,     ----, 2860----, 1710    , 1718----,     ----, 1656X   , 3166----,  446----,  484----,     ----, 9999----, 4670----,-----    ,-----    ,     ----,-----    
OK426,20240322153000:  214    ,     ----,  990----,  424----,  980----,  472----,     ----,     ----, 2860----, 1754    , 1734----,     ----, 1682X   , 3268----,  438----,  484----,     ----,     ----, 4689----,-----    ,-----    ,     ----,-----    
OK426,20240322154500:  166    ,     ----,  870----,  320----, 1000----,     ----,     ----,     ----, 5980----, 1354    , 1790----,     ----, 1671X   , 3272----,  362----,  380----,     ----,     ----, 4685----,-----    ,-----    ,     ----,-----    
OK426,20240322160000:  170    ,     ----,  930----, 1024----,  940----,     ----,     ----,     ----, 2800----, 1722    , 1722----,     ----, 1692X   , 3221----,  286----, 1084----,     ----,  132----, 4723----,-----    ,-----    ,     ----,-----    
OK426,20240322161500:  166    ,     ----,  930----,  288----,  940----,     ----,     ----, 2780----, 3060----, 1618    , 1322----,     ----, 1682X   , 3196----,  298----,  348----,     ----,     ----, 4725----,-----    ,-----    ,     ----,-----    
OK426,20240322163000:  174    ,     ----,  930----,  280----, 1000----,     ----,     ----, 2740----, 3020----, 1650    , 1710----,     ----, 1720X   , 3381----,  338----,  340----,     ----,  120----, 4792----,-----    ,-----    ,     ----,-----    
OK426,20240322164500:  150    ,     ----,  930----,  336----, 1000----,     ----,     ----, 2740----, 5720----, 1246    , 1298----,     ----, 1708X   , 3112----,  350----,  396----,     ----,     ----, 4875----,-----    ,-----    ,     ----,-----    
OK426,20240322170000:  154    ,     ----,  990----,  324----, 1000----,     ----,     ----, 2700----, 2900----, 1694    , 1798----,     ----, 1768X   , 3112----,  314----,  384----,     ----,  120----, 4998----,-----    ,-----    ,     ----,-----    
OK426,20240322171500:  146    ,     ----,  990----,  300----,  880----,     ----,     ----, 2620----, 2940----, 1726    , 1806----,     ----, 1792X   , 3137----,  498----,  360----,     ----,  108----, 5132----,-----    ,-----    ,     ----,-----    
OK426,20240322173000:  150    ,     ----,  990----,  332----, 1000----,     ----,     ----, 2540----, 2720----, 1754    , 1826----,     ----, 1804X   , 3003----,  342----,  392----,     ----,   84----, 5322----,-----    ,-----    ,     ----,-----    
OK426,20240322174500:  138    ,     ----,  980----,  340----,  980----,     ----,     ----, 2400----, 2600----, 1726    , 1806----,     ----, 1780X   , 2926----,  350----,  400----,     ----,  120----, 5352----,-----    ,-----    ,     ----,-----    
OK426,20240322180000:  142    ,     ----, 1100----,  308----,  980----,     ----,     ----, 2340----, 2600----, 1706    , 1742----,     ----, 1744X   , 2857----,  310----,  368----,     ----,   72----, 5338----,-----    ,-----    ,     ----,-----    
OK426,20240322181500:  146    ,     ----,  930----,  264----,  980----,     ----,     ----, 2240----, 2520----, 1690    , 1110----,     ----, 1728X   , 2807----,  274----,  324----,     ----,   96----, 5277----,-----    ,-----    ,     ----,-----    
OK426,20240322183000:  158    ,     ----, 1040----,  220----,  960----,     ----,     ----, 2320----, 2520----, 1658    , 1206----,     ----, 1704X   , 2814----,  226----,  280----,     ----,   96----, 5175----,-----    ,-----    ,     ----,-----    
OK426,20240322184500:  154    ,     ----,  980----,  216----,  940----,     ----,     ----, 2240----, 2420----, 1634    , 1674----,     ----, 1644X   , 2447----,  222----,  276----,     ----,   48----, 5313----,-----    ,-----    ,     ----,-----    
OK426,20240322190000:  138    ,     ----,  920----,  216----, 1000----,     ----,     ----, 2220----, 2360----, 1558    , 1642----,     ----, 1604X   , 2715----,  222----,  276----,     ----,  108----, 5090----,-----    ,-----    ,     ----,-----    
OK426,20240322191500:  154    ,     ----,  980----,  208----,  960----,     ----,     ----, 2240----, 2320----, 1502    , 1566----,     ----, 1520X   , 2636----,  234----,  268----,     ----,   96----, 4983----,-----    ,-----    ,     ----,-----    
OK426,20240322193000:  158    ,     ----,  860----,  256----,  960----,     ----,     ----, 2240----, 2500----, 1422    , 1506----,     ----, 1364X   , 2637----,  242----,  316----,     ----,   72----, 4673----,-----    ,-----    ,     ----,-----    
OK426,20240322194500:  154    ,     ----,  920----,  240----,  980----,     ----,     ----, 2280----, 2360----, 1378    , 1294----,     ----, 1420X   , 2744----,  238----,  300----,     ----,  120----, 4101----,-----    ,-----    ,     ----,-----    
OK426,20240322200000:  150    ,     ----,  860----,  228----,  980----,     ----,     ----, 2480----, 2340----, 1198    , 1238----,     ----, 1360X   , 3204----,  226----,  288----,     ----,  108----, 4064----,-----    ,-----    ,     ----,-----    
OK426,20240322201500:  162    ,     ----,  920----,  296----,  980----,     ----,     ----, 2400----, 2500----, 1362    , 1146----,     ----, 1344X   , 3293----,  218----,  356----,     ----,   96----, 4112----,-----    ,-----    ,     ----,-----    
OK426,20240322203000:  162    ,     ----,  920----,  268----,  980----,     ----,     ----, 2560----, 2540----, 1358    , 1442----,     ----, 1368X   , 3199----,  218----,  328----,     ----,  120----, 3829----,-----    ,-----    ,     ----,-----F   
OK426,20240322204500:  154    ,     ----,  920----,  204----,  980----,     ----,     ----, 2440----, 2220----, 1038    , 1522----,     ----, 1372X   , 3150----,  222----,  264----,     ----,   84----, 3990----,-----    ,-----    ,     ----,-----    
OK426,20240322210000:  154    ,     ----,  920----,  180----,  980----,     ----,     ----, 2480----, 3300----, 1478    , 1074----,     ----, 1484X   , 3341----,  218----,  240----,     ----,   84----, 4066----,-----    ,-----    ,     ----,-----    
OK426,20240322211500:  158    ,     ----,  860----,     ----,  980----,     ----,     ----, 2480----, 2240----, 1230    , 1126----,     ----, 1520X   , 3339----,  222----,     ----,     ----,  132----, 4411----,-----G   ,-----    ,     ----,-----    
OK426,20240322213000:  154    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 2220----,  834    , 1014----,     ----,         ,     ----,  226----,     ----,     ----,     ----,     ----,-----    ,-----    ,     ----,-----    
OK426,20240322214500:  154    ,     ----,  860----,     ----,  960----,     ----,     ----, 2480----, 2260----, 1158    , 1266----,     ----, 1772X   , 3454----,  226----,     ----,     ----,   84----, 5224----,-----G   ,-----    ,     ----,-----    
OK426,20240322220000:  150    ,     ----, 1040----,  220----,  980----,     ----,     ----, 2400----, 2220----, 1002    , 1062----,     ----, 1536X   , 2820----,  242----,  280----,     ----,  132----, 4648----,-----    ,-----    ,     ----,-----F   
OK426,20240322221500:  154    ,     ----, 1000----,     ----,  980----,     ----,     ----, 2480----, 2120----,  498    ,  442----,     ----, 1560X   , 3095----,  226----,     ----,     ----, 9999----, 4734----,-----G   ,-----    ,     ----,-----    
OK426,20240322223000:  150    ,     ----,     ----,     ----,  960----,     ----,     ----, 2640----, 2160----,  434    ,  342----,     ----, 1492X   ,     ----,  214----,     ----,     ----,   96----,     ----,-----G   ,-----    ,     ----,-----    
OK426,20240322224500:  150    ,     ----,     ----,     ----,  980----,     ----,     ----, 2900----, 2240----,  426    ,  390----,     ----, 1480X   , 2773----,  202----,     ----,     ----,   84----, 4703----,-----G   ,-----    ,     ----,-----    
OK426,20240322230000:  150    ,     ----,     ----,     ----,  980----,     ----,     ----, 2880----, 2340----,  458    ,  578----,     ----, 1528X   , 3306----,  214----,     ----,     ----,  144----, 4184----,-----G   ,-----    ,     ----,-----    
OK426,20240322231500:  148    ,     ----,     ----,     ----,     ----,     ----,     ----, 2960----, 2520----,  578    ,  614----,     ----, 1846X   ,     ----,     ----,     ----,     ----,     ----,     ----,-----G   ,-----    ,     ----,-----    
OK426,20240322233000:  146    ,     ----, 1000----,     ----,  980----,     ----,     ----, 2740----, 2460----,  618    ,  590----,     ----, 1532X   , 3431----,  198----,     ----,     ----, 9999----, 4071----,-----G   ,-----    ,     ----,-----    
OK426,20240322234500:  154    ,     ----,  920----,     ----,  980----,     ----,     ----, 2580----, 2320----,  486    ,  506----,     ----, 1324X   ,     ----,  226----,     ----,     ----,   72----,     ----,-----G   ,-----    ,     ----,-----    
#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
OK426,20240323000000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----, 2720----, 2400----,  598    , 1278----,     ----, 1320X   , 3287----,     ----,     ----,     ----,   84----, 3962----,-----G   ,-----    ,     ----,-----    
OK426,20240323001500:  146    ,     ----,     ----,     ----,  980----,     ----,     ----, 3000----, 2380----, 1222    , 1258----,     ----, 1268X   , 2646----,  198----,     ----,     ----,   48----, 3902----,-----G   ,-----    ,     ----,-----    
OK426,20240323003000:  158    ,     ----,     ----,     ----,  840----,     ----,     ----, 2640----, 2560----, 1230    , 1294----,     ----, 1344X   , 3020----,  234----,     ----,     ----,   96----, 3851----,-----G   ,-----    ,     ----,-----    
OK426,20240323004500:  154    ,     ----,  900----,     ----,  980----,     ----,     ----, 2560----, 2420----, 1278    , 1318----,     ----, 1320X   , 2911----,  206----,     ----,     ----,  132----, 3778----,-----G   ,-----    ,     ----,-----    
OK426,20240323010000:  154    ,     ----,  900----,  188----,  980----,     ----,     ----, 2640----, 2420----, 1314    , 1286----,     ----, 1332X   , 2927----,  206----,  248----,     ----,   72----, 3833----,-----    ,-----    ,     ----,-----    
OK426,20240323011500:  138    ,     ----,  920----,  756----,  920----,  785----,     ----, 2980----, 2460----, 1242    , 1238----,     ----, 1160X   , 2621----,  834----,  816----,     ----,  120----, 4014----,-----    ,-----    ,  300----,-----F   
