#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
WK546,20240322224500:  162    ,     ----,     ----,     ----,  960----,     ----,     ----,     ----, 2540----,  594    ,  666----,     ----,  596X   , 2827----,  246----,     ----,     ----,   48----, 1538----,-----G   ,-----    ,     ----,-----    
WK546,20240322230000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2780----,  606    ,  662----,     ----,  596X   , 3527----,     ----,     ----,     ----,   60----, 1515----,-----G   ,-----    ,     ----,-----    
WK546,20240322231500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2860----,  614    ,  670----,     ----,  596X   , 3438----,     ----,     ----,     ----,   60----, 1529----,-----G   ,-----    ,     ----,-----    
WK546,20240322233000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2920----,  618    ,  694----,     ----,  596X   , 3460----,     ----,     ----,     ----,   60----, 1519----,-----G   ,-----    ,     ----,-----    
WK546,20240322234500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2820----,  606    ,  686----,     ----,  596X   , 3087----,     ----,     ----,     ----,   60----, 1636----,-----G   ,-----    ,     ----,-----    
#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
WK546,20240323000000:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2960----,  614    ,  682----,     ----,  596X   , 3270----,     ----,     ----,     ----,   84----, 1737----,-----G   ,-----    ,     ----,-----    
WK546,20240323001500:  136    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2860----,  594    ,  670----,     ----,  596X   , 2963----,     ----,     ----,     ----,   72----, 1526----,-----G   ,-----    ,     ----,-----    
WK546,20240323003000:  166    ,     ----,     ----,     ----,  980----,     ----,     ----,     ----, 2920----,  602    ,  666----,     ----,  644X   , 3607----,  226----,     ----,     ----,   96----, 1654----,-----G   ,-----    ,     ----,-----    
WK546,20240323004500:  148    ,     ----,     ----,     ----,     ----,     ----,     ----,     ----, 2900----,  602    ,  654----,     ----,  596X   , 3875----,     ----,     ----,     ----,   60----, 1500----,-----G   ,-----    ,     ----,-----    
