#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
TO536,20240322191500:  166    ,     ----,  800----,  246----,  940----,  246----,     ----, 2280----,     ----,  862    ,  918----,     ----,  862X   , 3055----,  306----,  307----,     ----,   96----, 2641----,-----    ,-----    ,     ----,-----    
TO536,20240322193000:  162    ,     ----,  860----,  218----,  960----,  218----,     ----, 2300----,     ----,  842    ,  902----,     ----,  842X   , 3100----,  278----,  272----,     ----,   84----, 2559----,-----    ,-----    ,     ----,-----    
TO536,20240322194500:  162    ,     ----,  900----,  326----,  840----,  326----,     ----, 2280----,     ----,  822    ,  878----,     ----,  822X   , 3050----,  386----,  235----,     ----,   96----, 2407----,-----    ,-----    ,     ----,-----    
TO536,20240322200000:  162    ,     ----,  800----,  162----,  980----,  162----,     ----, 2260----,     ----, 2418    , 2442----,     ----, 2418X   , 2738----,  222----,     ----,     ----,   84----, 2281----,-----G   ,-----    ,     ----,-----    
TO536,20240322201500:  162    ,  210----,     ----,  150----,  980----,  150----,     ----, 2220----,     ----,  794    ,  858----,     ----,  794X   , 3029----,  210----,     ----,     ----,   96----, 2316----,-----G   ,-----    ,     ----,-----    
TO536,20240322203000:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2180----,     ----,  774    ,  838----,     ----,  774X   , 3231----,     ----,     ----,     ----,   96----, 2198----,-----G   ,-----    ,     ----,-----    
TO536,20240322204500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2100----,     ----,  730    ,  818----,     ----,  730X   , 3167----,     ----,     ----,     ----,   96----, 2198----,-----G   ,-----    ,     ----,-----    
TO536,20240322210000:  170    ,     ----,     ----,  170----,     ----,  170----,     ----, 2160----,     ----,  726    ,  794----,     ----,  726X   , 2514----,     ----,     ----,     ----,  121----, 1992----,-----G   ,-----    ,     ----,-----    
TO536,20240322211500:  154    ,     ----,     ----,  154----,     ----,  154----,     ----, 2080----,     ----,  718    ,  778----,     ----,  718X   , 3268----,     ----,     ----,     ----,  108----, 2037----,-----G   ,-----    ,     ----,-----    
TO536,20240322213000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2120----,     ----,  706    ,  770----,     ----,  706X   , 2638----,     ----,     ----,     ----,  131----, 1872----,-----G   ,-----    ,     ----,-----    
TO536,20240322214500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2340----,     ----,  698    ,  726----,     ----,  698X   , 3204----,     ----,     ----,     ----,   38----, 1921----,-----G   ,-----    ,     ----,-----    
TO536,20240322220000:  170    ,  202----,     ----,  142----,     ----,  142----,     ----, 2460----,     ----,  694    ,  718----,     ----,  694X   , 3245----,  202----,     ----,     ----,   38----, 1905----,-----G   ,-----    ,     ----,-----    
TO536,20240322221500:  166    ,     ----,  980----,  186----, 1000----,  186----,     ----, 2500----,     ----,  674    ,  726----,     ----,  674X   , 3248----,  246----,  247----,     ----,   85----, 1921----,-----    ,-----    ,     ----,-----    
TO536,20240322223000:  158    ,  258----,  920----,  198----,  980----,  198----,     ----, 2560----,     ----,  674    ,  722----,     ----,  674X   , 2767----,  258----,  255----,     ----,   96----, 1783----,-----    ,-----    ,     ----,-----    
TO536,20240322224500:  162    ,     ----,     ----,  510----,  920----,  510----,     ----, 3180----,     ----,  598    ,  710----,     ----,  598    ,     ----,  570----,     ----,     ----,     ----,     ----,-----    ,-----    ,     ----,-----    
TO536,20240322230000:  162    ,     ----,  980----,  314----,  960----,  314----,     ----, 2720----,     ----,  658    ,  722----,     ----,  658X   , 3430----,  374----,  344----,     ----,   85----, 1868----,-----    ,-----    ,     ----,-----F   
