#                       fmin  ,   foE   ,   h'E   ,   foEs  ,   h'Es  ,   fbEs  ,   foF1  ,   h'F   ,   h'F2  ,   foF2  ,   fxF2  ,   M3F2  ,   fxI   ,   hpF2  ,   fxEs  ,   ftEs  ,   fxF1  ,   FSPR  ,   MUF   ,   Es1   ,   Es2   ,   Es    ,   W     
TO536,20240325173000:  206    ,     ----,  920----,  174----,  960----,  174----,     ----, 4700----,     ----, 1106    , 1162----,     ----, 1106X   , 2950----,  234----,     ----,     ----,  108----, 3419----,-----G   ,-----    ,     ----,-----    
TO536,20240325174500:  198    ,     ----,     ----,  174----,  980----,  174----,     ----, 2300----,     ----, 1098    , 1162----,     ----, 1098X   , 3011----,  234----,  231----,     ----,  108----, 3391----,-----    ,-----    ,     ----,-----    
TO536,20240325180000:  170    ,     ----,  860----,  186----,  980----,  186----,     ----, 2280----,     ----, 1098    , 1166----,     ----, 1098X   , 3001----,  246----,  243----,     ----,  108----, 3360----,-----    ,-----    ,     ----,-----    
TO536,20240325181500:  170    ,     ----,  900----,  174----,  980----,  174----,     ----, 2220----,     ----, 1086    , 1154----,     ----, 1086X   , 2499----,  234----,     ----,     ----,   96----, 3380----,-----G   ,-----    ,     ----,-----    
TO536,20240325183000:  166    ,     ----,     ----,  166----,  980----,  166----,     ----, 2180----,     ----, 1042    , 1110----,     ----, 1042X   , 2842----,  226----,     ----,     ----,   96----, 3288----,-----G   ,-----    ,     ----,-----    
TO536,20240325184500:  174    ,     ----,     ----,  146----,  980----,  146----,     ----, 2180----,     ----,  982    , 1078----,     ----,  982X   , 2749----,  206----,     ----,     ----,   47----, 3124----,-----G   ,-----    ,     ----,-----    
TO536,20240325190000:  162    ,     ----, 1040----,  258----, 1000----,  258----,     ----, 2180----,     ----,  942    , 1018----,     ----,  942X   , 2777----,  318----,  314----,     ----,   84----, 2916----,-----    ,-----    ,     ----,-----    
TO536,20240325191500:  162    ,     ----,  980----,  290----,  980----,  290----,     ----, 2240----,     ----,  898    ,  946----,     ----,  898X   , 3040----,  350----,  352----,     ----,   96----, 2658----,-----    ,-----    ,     ----,-----    
TO536,20240325193000:  162    ,     ----,  980----,  210----, 1000----,  210----,     ----, 2180----,     ----,  874    ,  938----,     ----,  874X   , 2941----,  270----,  272----,     ----,   36----, 2570----,-----    ,-----    ,     ----,-----    
TO536,20240325194500:  162    ,     ----,  980----,  174----,  980----,  174----,     ----, 2220----,     ----,  838    ,  910----,     ----,  838X   , 3135----,  234----,  231----,     ----,  108----, 2388----,-----    ,-----    ,     ----,-----    
TO536,20240325200000:  166    ,     ----,     ----,  166----,  980----,  166----,     ----, 2340----,     ----,  806    ,  870----,     ----,  806X   , 3216----,  226----,     ----,     ----,     ----, 2248----,-----G   ,-----    ,     ----,-----    
TO536,20240325201500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2500----,     ----,  810    ,  870----,     ----,  810X   , 3477----,     ----,     ----,     ----,   96----, 2170----,-----G   ,-----    ,     ----,-----    
TO536,20240325203000:  170    ,     ----, 1440----,  170----, 1550----,  170----,     ----, 2580----,     ----,  830    ,  882----,     ----,  830X   , 3468----,  574----,  574----,     ----,  121----, 2263----,-----    ,-----    ,     ----,-----    
TO536,20240325204500:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2520----,     ----,  834    ,  890----,     ----,  834X   , 3341----,     ----,     ----,     ----,   96----, 2332----,-----G   ,-----    ,     ----,-----    
TO536,20240325210000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2460----,     ----,  822    ,  878----,     ----,  822X   , 3242----,     ----,     ----,     ----,  108----, 2277----,-----G   ,-----    ,     ----,-----    
TO536,20240325211500:  166    ,  226----,     ----,  166----,     ----,  166----,     ----, 2480----,     ----,  806    ,  870----,     ----,  806X   , 3544----,  226----,     ----,     ----,   96----, 2254----,-----G   ,-----    ,     ----,-----F   
TO536,20240325213000:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2520----,     ----,  798    ,  858----,     ----,  798X   , 3363----,     ----,     ----,     ----,   84----, 2208----,-----G   ,-----    ,     ----,-----    
TO536,20240325214500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2520----,     ----,  794    ,  850----,     ----,  794X   , 3591----,     ----,     ----,     ----, 9999----, 2265----,-----G   ,-----    ,     ----,-----    
TO536,20240325220000:  162    ,     ----,     ----,  162----,     ----,  162----,     ----, 2460----,     ----,  806    ,  866----,     ----,  806X   , 3283----,     ----,     ----,     ----,   47----, 2328----,-----G   ,-----    ,     ----,-----    
TO536,20240325221500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2380----,     ----,  802    ,  858----,     ----,  802X   , 2930----,     ----,     ----,     ----,   37----, 2387----,-----G   ,-----    ,     ----,-----    
TO536,20240325223000:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2300----,     ----,  782    ,  846----,     ----,  782X   , 3162----,     ----,     ----,     ----,   35----, 2312----,-----G   ,-----    ,     ----,-----    
TO536,20240325224500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2280----,     ----,  774    ,  838----,     ----,  774X   , 2831----,     ----,     ----,     ----,   48----, 2330----,-----G   ,-----    ,     ----,-----F   
TO536,20240325230000:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2300----,     ----,  762    ,  830----,     ----,  762X   , 2990----,     ----,     ----,     ----,   35----, 2156----,-----G   ,-----    ,     ----,-----    
TO536,20240325231500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2260----,     ----,  722    ,  798----,     ----,  722X   , 3055----,     ----,     ----,     ----,  108----, 2134----,-----G   ,-----    ,     ----,-----    
TO536,20240325233000:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2300----,     ----,  706    ,  722----,     ----,  706X   , 2881----,     ----,     ----,     ----,   61----, 2067----,-----G   ,-----    ,     ----,-----    
TO536,20240325234500:  166    ,     ----,     ----,  166----,     ----,  166----,     ----, 2380----,     ----,  678    ,  726----,     ----,  678X   , 2738----,     ----,     ----,     ----,   60----, 1710----,-----G   ,-----    ,     ----,-----
