UT                                    BX_FGS-D               BY_FGS-D               BZ_FGS-D
                                        (@_1_)                 (@_2_)                 (@_3_)
dd-mm-yyyy hh:mm:ss.ms         nT_GSE_(All_Qs)        nT_GSE_(All_Qs)        nT_GSE_(All_Qs)
17-03-2015 03:09:31.175               -5.92473                10.2072                31.9625
17-03-2015 03:09:35.253               -5.08130                5.60990                32.2294
17-03-2015 03:09:39.331               -4.40770                6.82934                30.2386
17-03-2015 03:09:43.409               -4.50245                10.2697                31.1662
17-03-2015 03:09:47.487               -3.97204                7.13282                34.3472
17-03-2015 03:09:51.566               -8.43207                12.0815                33.1541
17-03-2015 03:09:55.644               -5.41414                11.3003                30.5391
17-03-2015 03:09:59.722               -2.37298                7.74746                33.9210
17-03-2015 03:10:03.800               -4.69613                4.60122                31.9851
17-03-2015 03:10:07.878               -3.49543                3.68027                33.2146
17-03-2015 03:10:11.956               -6.95218                6.26105                31.7963
17-03-2015 03:10:16.035               -6.03009                7.98187                31.9781
17-03-2015 03:10:20.113               -3.29636                7.77175                28.9723
17-03-2015 03:10:24.191               -3.66394                10.8858                32.1365
17-03-2015 03:10:28.269               -2.20257                10.8517                31.4380
17-03-2015 03:10:32.347               -2.55215                9.13706                30.3835
17-03-2015 03:10:36.425               -4.38665                12.4278                29.7212
17-03-2015 03:10:40.504               -3.14442                11.9501                32.0048
17-03-2015 03:10:44.582               -2.25382                10.9289                35.2736
17-03-2015 03:10:48.660               -1.81852                11.8156                33.9900
17-03-2015 03:10:52.738               -5.51284                9.13742                30.2073
17-03-2015 03:10:56.816               -6.60107                10.3512                30.8999
17-03-2015 03:11:00.895               -8.73278                11.4253                28.1554
17-03-2015 03:11:04.973               -4.91546                11.5473                30.0845
17-03-2015 03:11:09.051               -4.52684                5.89259                30.5453
17-03-2015 03:11:13.129               -6.16578                7.48750                31.4743
17-03-2015 03:11:17.207               -6.35491                9.72791                30.5111
17-03-2015 03:11:21.285               -4.44775                7.44830                29.4491
17-03-2015 03:11:25.364               -3.86558                8.75555                30.7748
17-03-2015 03:11:29.442               -7.35810                14.7188                29.5355
17-03-2015 03:11:33.520               -5.10357                13.1897                30.7946
17-03-2015 03:11:37.598               -6.87543                10.8205                30.1375
17-03-2015 03:11:41.676               -7.44660                12.5958                28.3799
17-03-2015 03:11:45.754               -6.45512                12.4890                29.1790
17-03-2015 03:11:49.833               -6.40810                12.8187                26.1418
17-03-2015 03:11:53.911               -6.71406                13.0359                28.2550
17-03-2015 03:11:57.989               -5.20144                9.16154                28.2720
17-03-2015 03:12:02.067               -4.85654                8.66337                29.5582
17-03-2015 03:12:06.145               -3.46581                9.59456                30.7239
17-03-2015 03:12:10.224               -5.57352                9.39332                30.5073
17-03-2015 03:12:14.302               -4.27690                10.3440                32.7284
17-03-2015 03:12:18.380               -4.37363                11.7588                30.8549
17-03-2015 03:12:22.458               -7.79158                9.34511                30.6949
17-03-2015 03:12:26.536               -5.02064                7.56375                29.9775
17-03-2015 03:12:30.614               -3.92845                8.88698                31.1502
17-03-2015 03:12:34.693               -6.39526                10.0638                29.1635
17-03-2015 03:12:38.771               -7.97855                14.3382                26.9688
17-03-2015 03:12:42.849               -7.72529                13.2862                29.9741
17-03-2015 03:12:46.927               -9.28082                12.0287                28.9700
17-03-2015 03:12:51.005               -8.66111                12.1541                30.5417
17-03-2015 03:12:55.084               -8.79566                6.48093                28.5806
17-03-2015 03:12:59.162               -8.50869                9.47790                27.4779
17-03-2015 03:13:03.240               -10.2026                11.8353                28.3689
17-03-2015 03:13:07.318               -9.49490                11.8670                29.0002
17-03-2015 03:13:11.396               -9.23010                11.8889                28.0917
17-03-2015 03:13:15.474               -6.87969                13.2035                29.6245
17-03-2015 03:13:19.553               -2.03715                13.6236                27.5022
17-03-2015 03:13:23.631               -3.92676                11.5153                31.3764
17-03-2015 03:13:27.709               -6.44181                11.4650                31.2974
17-03-2015 03:13:31.787               -7.51898                10.8854                29.0998
17-03-2015 03:13:35.865               -9.02701                12.8600                27.6459
17-03-2015 03:13:39.943               -6.94917                13.4724                27.8392
17-03-2015 03:13:44.022               -8.50434                10.9235                25.4319
17-03-2015 03:13:48.100               -10.4269                12.5475                25.3068
17-03-2015 03:13:52.178               -9.38494                10.2752                25.3405
17-03-2015 03:13:56.256               -9.40400                12.6038                28.3677
17-03-2015 03:14:00.334               -8.62969                11.5839                31.3941
17-03-2015 03:14:04.413               -9.44199                14.3595                28.9092
17-03-2015 03:14:08.491               -5.60012                10.8072                28.7208
17-03-2015 03:14:12.569               -3.68926                8.85152                29.4520
17-03-2015 03:14:16.647               -4.20471                11.6925                28.9452
17-03-2015 03:14:20.725               -8.68232                15.2089                28.0166
17-03-2015 03:14:24.803               -7.49432                13.5348                27.9790
17-03-2015 03:14:28.882               -7.11865                15.0267                26.6202
17-03-2015 03:14:32.960               -7.68582                15.5995                24.1494
17-03-2015 03:14:37.038               -7.51410                12.8177                27.1277
17-03-2015 03:14:41.116               -7.75137                11.6980                27.5797
17-03-2015 03:14:45.194               -6.35632                11.7700                26.8152
17-03-2015 03:14:49.273               -7.11602                12.8029                26.3039
17-03-2015 03:14:53.351               -7.38438                12.3334                25.4830
17-03-2015 03:14:57.429               -6.99713                11.9156                25.3454
17-03-2015 03:15:01.507               -7.70202                13.7905                26.6772
17-03-2015 03:15:05.585               -8.77947                14.1914                25.7615
17-03-2015 03:15:09.663               -9.91663                17.4718                26.2736
17-03-2015 03:15:13.742               -9.04542                15.1738                26.9540
17-03-2015 03:15:17.820               -9.90707                13.9746                26.7755
17-03-2015 03:15:21.898               -10.8399                12.3333                26.7927
17-03-2015 03:15:25.976               -9.34075                10.8099                28.2428
17-03-2015 03:15:30.054               -9.41478                10.7661                26.3596
17-03-2015 03:15:34.132               -7.58642                12.4310                27.9125
17-03-2015 03:15:38.211               -8.43933                13.3167                26.7009
17-03-2015 03:15:42.289               -6.93527                12.7922                27.2778
17-03-2015 03:15:46.367               -6.96252                13.1320                30.2484
17-03-2015 03:15:50.445               -6.19992                13.9832                26.4187
17-03-2015 03:15:54.523               -8.54257                13.6917                27.3795
17-03-2015 03:15:58.602               -8.32932                16.5248                26.4812
17-03-2015 03:16:02.680               -9.66922                16.5142                25.2987
17-03-2015 03:16:06.758               -10.6004                13.8445                27.4926
17-03-2015 03:16:10.836               -8.94673                9.30247                27.0844
17-03-2015 03:16:14.914               -8.00884                12.0540                27.3605
17-03-2015 03:16:18.992               -8.89646                10.4698                28.4029
17-03-2015 03:16:23.071               -7.25029                13.3969                29.1386
17-03-2015 03:16:27.149               -7.18047                11.1509                29.0291
17-03-2015 03:16:31.227               -6.61458                11.0328                28.5356
17-03-2015 03:16:35.305               -5.35798                12.3198                27.9464
17-03-2015 03:16:39.383               -6.35200                11.0381                26.8452
17-03-2015 03:16:43.461               -8.83427                14.7754                31.3296
17-03-2015 03:16:47.540               -9.75293                16.1461                30.9832
17-03-2015 03:16:51.618               -9.60253                14.2027                27.8776
17-03-2015 03:16:55.696               -9.25201                12.2954                28.3621
17-03-2015 03:16:59.774               -4.33888                11.4899                28.6590
17-03-2015 03:17:03.852               -4.73823                9.31865                31.8993
17-03-2015 03:17:07.931               -6.79710                9.94226                28.3790
17-03-2015 03:17:12.009               -6.48008                9.68096                28.2150
17-03-2015 03:17:16.087               -3.05130                11.0535                31.1742
17-03-2015 03:17:20.165               -5.26095                10.6773                32.7646
17-03-2015 03:17:24.243               -5.74050                10.2510                30.0154
17-03-2015 03:17:28.321               -6.36774                10.3220                28.8961
17-03-2015 03:17:32.400               -2.24680                12.8415                28.7290
17-03-2015 03:17:36.478               -4.03909                9.33197                28.8582
17-03-2015 03:17:40.556               -3.15048                10.0831                28.3860
17-03-2015 03:17:44.634               -9.05458                10.7839                29.5656
17-03-2015 03:17:48.712               -6.73749                13.0750                29.2893
17-03-2015 03:17:52.791               -4.30819                16.1182                32.3234
17-03-2015 03:17:56.869               -5.17248                17.1428                32.4611
17-03-2015 03:18:00.947               -3.80162                17.4930                30.0187
17-03-2015 03:18:05.025               -7.48142                16.2024                33.2204
17-03-2015 03:18:09.103               -6.60332                13.5323                33.4958
17-03-2015 03:18:13.181               -5.74253                12.6506                30.2842
17-03-2015 03:18:17.260               -3.39983                11.1869                32.6874
17-03-2015 03:18:21.338               -5.70607                15.9811                34.3135
17-03-2015 03:18:25.416               -7.78712                11.8426                34.2272
17-03-2015 03:18:29.494               -6.66919                14.1534                31.6042
17-03-2015 03:18:33.572               -4.83772                11.8367                31.2557
17-03-2015 03:18:37.650               -5.66235                9.82948                34.6187
17-03-2015 03:18:41.729               -3.40996                9.16944                33.0793
